읍면동코드,시도,객체시군구코드,시군구,읍면동명,중심점_longitude,중심점_latitude,순위,시설명,시설_시도,시설_시군구,시설_longitude,시설_latitude,직선거리_km
11110146,서울특별시,11110,종로구,가회동,126.98484297,37.58268402,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.49
11110146,서울특별시,11110,종로구,가회동,126.98484297,37.58268402,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,24.49
11110153,서울특별시,11110,종로구,돈의동,126.99073500,37.57197993,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.19
11110153,서울특별시,11110,종로구,돈의동,126.99073500,37.57197993,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.77
11110153,서울특별시,11110,종로구,돈의동,126.99073500,37.57197993,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.27
11110111,서울특별시,11110,종로구,옥인동,126.96340454,37.58353883,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,14.43
11110111,서울특별시,11110,종로구,옥인동,126.96340454,37.58353883,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,17.31
11110111,서울특별시,11110,종로구,옥인동,126.96340454,37.58353883,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,23.62
11110139,서울특별시,11110,종로구,팔판동,126.98072863,37.58279846,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.28
11110139,서울특별시,11110,종로구,팔판동,126.98072863,37.58279846,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.63
11110139,서울특별시,11110,종로구,팔판동,126.98072863,37.58279846,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,24.75
42130101,강원특별자치도,42130,원주시,중앙동,127.95056046,37.34977414,1,원주추모공원 화장장,강원특별자치도,원주시,127.89664513,37.28601493,8.54
42130101,강원특별자치도,42130,원주시,중앙동,127.95056046,37.34977414,2,제천시영원한쉼터,충청북도,제천시,128.24442049,37.20219136,30.75
42130101,강원특별자치도,42130,원주시,중앙동,127.95056046,37.34977414,3,충주시시설관리공단,충청북도,충주시,127.99828728,36.96260064,43.26
